Age at enrollment,Curricular units 1st sem (approved),Curricular units 2nd sem (approved),Unemployment rate,Inflation rate,GDP,Daytime/evening attendance,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Marital status,Application mode,Course,Previous qualification,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Application order,Target
21,6,6,16.2,0.3,-0.92,1,1,0,1,0,0,1,8,10,1,13,28,8,9,2,Graduate
18,5,4,9.4,-0.8,-3.12,1,1,0,1,0,0,1,1,6,1,13,14,4,4,1,Enrolled
20,5,5,16.2,0.3,-0.92,1,1,0,1,0,0,1,1,9,1,13,1,10,10,1,Graduate
19,6,6,16.2,0.3,-0.92,1,1,0,1,1,0,1,8,12,1,3,3,2,11,2,Enrolled
21,5,5,16.2,0.3,-0.92,1,0,0,1,1,0,1,15,4,14,4,5,5,3,1,Enrolled
20,6,4,8.9,1.4,3.51,1,1,0,1,1,0,1,16,5,1,27,3,16,22,1,Graduate
18,3,2,8.9,1.4,3.51,1,0,0,0,1,0,1,1,9,1,1,1,5,7,1,Enrolled
19,6,6,12.4,0.5,1.79,0,1,0,1,0,0,1,9,3,1,13,1,10,6,1,Graduate
34,5,5,13.9,-0.3,0.79,0,0,0,1,1,0,1,1,17,1,2,27,4,10,1,Graduate
37,0,1,8.9,1.4,3.51,1,0,1,0,1,0,1,12,1,1,23,27,10,7,1,Dropout
43,0,0,7.6,2.6,0.32,1,1,0,1,1,0,1,12,7,8,19,27,1,1,1,Dropout
55,1,2,16.2,0.3,-0.92,1,0,0,1,0,0,1,14,9,1,22,27,7,7,1,Dropout
39,5,5,7.6,2.6,0.32,0,1,0,1,0,0,4,12,17,1,13,14,10,4,1,Graduate
20,3,3,12.4,0.5,1.79,1,0,1,0,0,0,1,15,8,14,4,4,4,7,1,Dropout
18,4,0,12.7,3.7,-1.7,1,0,1,1,0,0,1,1,15,1,3,3,3,3,5,Dropout
22,5,5,8.9,1.4,3.51,1,1,0,1,0,0,1,1,9,1,3,14,3,8,2,Graduate
22,5,7,11.1,0.6,2.02,1,1,0,1,0,0,1,1,12,1,1,3,3,3,6,Graduate
20,4,5,12.4,0.5,1.79,1,0,0,0,0,0,1,8,15,1,1,28,6,6,1,Dropout
29,0,0,16.2,0.3,-0.92,0,0,0,1,0,0,1,12,17,1,22,27,10,10,1,Dropout
24,2,3,7.6,2.6,0.32,0,0,0,1,0,0,1,8,17,1,23,28,5,6,1,Enrolled
18,6,5,11.1,0.6,2.02,1,1,0,1,0,0,1,8,10,1,13,14,10,10,2,Graduate
22,6,7,11.1,0.6,2.02,1,1,0,1,0,1,1,8,12,1,22,14,8,8,6,Graduate
21,6,6,12.4,0.5,1.79,0,0,0,1,0,1,1,15,3,14,1,14,10,10,1,Graduate
19,5,6,12.7,3.7,-1.7,1,0,0,1,0,1,1,1,10,1,22,28,10,10,1,Graduate
24,6,6,12.4,0.5,1.79,1,0,0,1,0,1,1,12,11,1,13,28,10,8,1,Graduate
19,6,6,9.4,-0.8,-3.12,1,1,0,1,0,1,1,1,12,1,22,28,7,7,1,Enrolled
20,4,3,9.4,-0.8,-3.12,1,1,0,1,0,1,1,1,15,1,1,14,8,8,1,Enrolled
19,5,5,7.6,2.6,0.32,1,0,0,1,0,0,1,1,8,1,22,27,12,12,3,Graduate
27,5,5,9.4,-0.8,-3.12,0,0,0,1,0,0,1,12,17,1,23,28,10,10,1,Dropout
18,7,8,15.5,2.8,-4.06,1,1,0,1,0,0,1,1,12,1,1,14,6,6,1,Graduate
39,0,0,12.4,0.5,1.79,1,0,0,1,0,0,2,4,11,3,1,3,5,4,1,Dropout
27,5,10,12.4,0.5,1.79,1,1,0,1,0,0,1,12,8,15,3,3,3,3,1,Dropout
18,8,8,9.4,-0.8,-3.12,1,1,0,1,0,0,1,8,12,1,23,28,8,11,1,Graduate
18,0,0,7.6,2.6,0.32,1,1,0,1,0,0,1,1,2,1,23,27,5,10,3,Enrolled
18,6,7,16.2,0.3,-0.92,1,0,0,1,0,0,1,1,12,1,13,14,10,10,2,Graduate
21,6,6,13.9,-0.3,0.79,1,0,0,1,0,1,1,15,10,14,13,1,10,10,1,Graduate
19,0,0,10.8,1.4,1.74,1,1,0,1,1,1,1,8,2,1,1,27,5,8,3,Enrolled
19,5,1,10.8,1.4,1.74,1,1,0,1,1,0,1,8,5,1,1,1,4,5,1,Enrolled
24,0,0,12.7,3.7,-1.7,1,0,0,1,1,0,1,14,5,1,1,1,4,4,1,Enrolled
29,5,5,13.9,-0.3,0.79,1,1,0,1,1,0,4,13,12,12,1,1,6,6,1,Dropout
19,0,0,10.8,1.4,1.74,1,1,0,1,1,1,1,1,2,1,13,14,6,4,3,Graduate
23,6,6,8.9,1.4,3.51,1,1,0,1,1,0,1,15,4,14,13,27,10,10,1,Graduate
19,5,4,16.2,0.3,-0.92,1,0,1,1,1,0,1,1,9,1,1,28,8,8,3,Dropout
26,6,5,12.7,3.7,-1.7,1,0,0,1,1,0,1,12,11,1,13,27,8,11,1,Enrolled
18,0,0,7.6,2.6,0.32,1,0,0,1,1,0,1,8,9,1,23,27,6,6,1,Enrolled
24,7,8,13.9,-0.3,0.79,1,0,0,1,1,0,1,8,12,1,22,14,9,5,1,Graduate
19,0,0,15.5,2.8,-4.06,1,1,0,1,1,0,1,1,2,1,13,14,6,11,1,Dropout
18,3,1,12.4,0.5,1.79,1,1,0,1,1,0,1,8,11,1,23,27,6,8,4,Dropout
18,6,3,10.8,1.4,1.74,1,1,0,1,1,0,1,1,15,1,23,28,10,10,2,Graduate
18,3,3,10.8,1.4,1.74,1,1,1,1,1,0,1,8,9,1,13,14,5,8,3,Dropout
21,4,1,9.4,-0.8,-3.12,1,1,0,1,1,1,1,9,11,1,13,27,8,8,4,Dropout
19,6,6,8.9,1.4,3.51,1,1,1,1,1,1,1,8,15,1,1,14,10,9,4,Graduate
22,7,8,16.2,0.3,-0.92,1,0,0,1,1,1,1,8,12,1,23,27,10,10,4,Graduate
33,6,6,10.8,1.4,1.74,0,0,0,1,1,0,2,12,3,1,22,27,10,7,1,Graduate
20,5,5,10.8,1.4,1.74,1,1,0,1,1,0,1,1,16,1,13,14,10,10,6,Dropout
35,0,0,10.8,1.4,1.74,0,1,0,1,1,0,1,12,17,2,3,3,3,3,1,Dropout
24,6,10,12.4,0.5,1.79,1,0,1,1,1,0,1,12,4,4,3,3,5,3,1,Dropout
18,5,3,12.7,3.7,-1.7,1,0,0,1,1,0,1,8,11,1,13,14,5,5,1,Enrolled
33,6,5,9.4,-0.8,-3.12,0,1,0,1,0,0,2,12,3,1,22,27,10,7,1,Graduate
22,7,7,10.8,1.4,1.74,1,1,0,1,0,1,1,13,12,1,22,28,10,8,1,Graduate
25,4,5,9.4,-0.8,-3.12,1,0,0,1,0,1,1,12,14,1,1,14,5,6,1,Graduate
20,6,5,7.6,2.6,0.32,1,1,0,1,1,0,1,8,5,1,13,28,5,1,1,Graduate
23,4,5,11.1,0.6,2.02,1,1,0,1,1,0,1,1,9,1,23,27,10,10,6,Enrolled
18,2,0,15.5,2.8,-4.06,1,1,1,1,1,0,1,14,7,1,23,14,10,7,2,Enrolled
24,0,0,13.9,-0.3,0.79,1,0,0,1,1,0,1,12,12,1,1,1,5,11,1,Dropout
21,6,6,8.9,1.4,3.51,1,1,0,0,0,0,1,8,15,1,13,1,10,10,2,Graduate
26,2,0,8.9,1.4,3.51,1,0,0,1,0,0,1,6,8,1,1,1,5,5,1,Dropout
39,3,0,7.6,2.6,0.32,1,0,0,1,0,0,2,12,16,8,22,24,1,1,1,Dropout
44,8,6,12.7,3.7,-1.7,0,0,0,1,0,0,2,12,3,1,22,14,10,10,1,Graduate
19,5,3,13.9,-0.3,0.79,1,1,0,1,1,0,1,6,7,1,23,3,10,3,1,Enrolled
18,6,6,8.9,1.4,3.51,1,1,0,1,0,0,1,1,15,1,22,1,6,6,5,Graduate
18,7,8,12.4,0.5,1.79,1,1,0,1,0,1,1,1,12,1,22,27,8,8,5,Graduate
19,5,5,12.7,3.7,-1.7,1,1,0,1,0,0,1,1,6,1,1,2,10,2,1,Enrolled
19,4,0,13.9,-0.3,0.79,1,1,1,0,0,0,1,1,12,1,3,3,3,3,4,Dropout
21,8,5,8.9,1.4,3.51,1,0,0,1,0,0,1,17,6,16,23,28,10,10,1,Dropout
20,0,0,16.2,0.3,-0.92,1,1,0,1,0,0,1,1,2,1,1,1,10,11,4,Graduate
36,0,0,9.4,-0.8,-3.12,0,1,0,1,0,0,2,12,3,1,22,27,7,6,1,Dropout
43,18,13,15.5,2.8,-4.06,1,0,0,1,0,0,4,12,4,9,22,27,10,7,1,Graduate
19,0,0,11.1,0.6,2.02,1,1,0,1,0,0,1,9,16,1,13,14,10,8,1,Dropout
20,10,11,11.1,0.6,2.02,1,0,1,1,0,0,1,16,5,1,3,1,3,9,1,Graduate
19,0,0,16.2,0.3,-0.92,1,1,0,1,0,0,1,1,10,1,22,28,5,8,2,Dropout
20,4,4,15.5,2.8,-4.06,1,1,0,1,0,0,1,1,6,1,1,1,5,5,1,Dropout
20,6,5,12.4,0.5,1.79,1,1,0,1,0,0,1,1,12,1,3,4,5,4,5,Dropout
20,6,3,16.2,0.3,-0.92,1,1,0,1,0,0,1,8,16,1,13,1,10,4,2,Enrolled
18,6,6,13.9,-0.3,0.79,1,1,0,1,0,0,1,1,10,1,22,27,7,8,1,Graduate
18,3,3,8.9,1.4,3.51,1,1,0,1,0,1,1,8,9,1,1,28,5,8,2,Enrolled
19,5,5,10.8,1.4,1.74,1,1,0,1,0,0,1,1,6,1,13,14,10,10,1,Graduate
18,6,6,10.8,1.4,1.74,1,1,0,1,0,0,1,1,15,1,1,28,5,8,3,Graduate
18,6,6,7.6,2.6,0.32,1,1,0,1,0,0,1,8,12,1,22,27,10,10,2,Dropout
20,6,7,13.9,-0.3,0.79,1,0,0,1,0,0,1,14,12,1,23,28,10,6,1,Enrolled
20,2,4,7.6,2.6,0.32,1,1,0,1,0,1,1,8,10,1,13,27,10,8,1,Enrolled
20,3,3,12.4,0.5,1.79,1,0,0,1,0,0,1,8,9,1,13,14,4,4,1,Enrolled
18,5,5,9.4,-0.8,-3.12,1,0,0,1,0,0,1,1,6,1,22,28,10,8,2,Graduate
18,5,5,11.1,0.6,2.02,1,0,0,1,0,0,1,1,9,1,2,14,5,6,1,Graduate
21,3,2,9.4,-0.8,-3.12,1,1,0,1,0,0,1,8,11,1,1,1,5,6,1,Dropout
19,5,4,16.2,0.3,-0.92,1,1,0,1,0,0,1,1,9,1,13,14,10,8,2,Graduate
19,0,0,10.8,1.4,1.74,1,0,0,1,0,0,1,1,2,1,3,14,3,10,1,Dropout
19,5,5,9.4,-0.8,-3.12,1,0,0,1,0,1,1,1,14,1,23,28,10,10,1,Graduate
19,6,6,15.5,2.8,-4.06,1,1,0,1,0,0,1,1,6,1,13,28,5,8,1,Graduate
19,5,0,13.9,-0.3,0.79,1,1,0,1,0,0,1,8,13,1,1,1,5,6,6,Dropout
20,6,5,12.4,0.5,1.79,1,1,0,1,0,0,1,15,6,14,22,27,10,10,1,Graduate
18,5,5,9.4,-0.8,-3.12,1,1,0,1,0,1,1,1,16,1,13,28,10,4,1,Enrolled
18,6,6,12.4,0.5,1.79,1,1,0,1,0,0,1,8,10,1,1,29,6,4,3,Graduate
19,7,8,12.4,0.5,1.79,1,1,0,1,0,0,1,8,12,1,1,27,9,10,6,Graduate
18,7,7,13.9,-0.3,0.79,1,1,0,1,0,1,1,1,12,1,13,14,6,9,3,Dropout
18,6,6,7.6,2.6,0.32,1,1,0,1,0,0,1,8,5,1,22,27,10,10,2,Graduate
19,5,5,8.9,1.4,3.51,1,1,0,1,0,0,1,1,9,1,1,14,5,9,4,Graduate
19,5,0,13.9,-0.3,0.79,1,1,0,1,0,0,1,8,12,1,1,14,4,4,6,Dropout
20,9,7,7.6,2.6,0.32,1,0,0,1,0,0,1,14,10,1,23,27,10,8,1,Graduate
19,5,4,12.4,0.5,1.79,1,0,1,0,0,1,1,1,14,1,1,28,4,10,1,Dropout
20,4,4,7.6,2.6,0.32,1,1,0,1,0,0,1,8,14,1,13,14,6,6,1,Graduate
18,6,6,8.9,1.4,3.51,1,0,1,1,0,1,1,1,15,1,1,1,20,39,1,Graduate
20,5,7,11.1,0.6,2.02,1,0,0,1,0,1,1,1,12,1,13,1,5,8,2,Enrolled
18,7,8,13.9,-0.3,0.79,1,0,0,1,0,0,1,9,12,1,13,1,5,9,1,Graduate
19,6,6,7.6,2.6,0.32,1,1,0,1,0,0,1,1,12,1,22,27,10,10,5,Graduate
19,6,5,12.4,0.5,1.79,1,1,0,1,0,1,1,1,15,1,13,1,5,5,6,Graduate
22,0,0,8.9,1.4,3.51,1,1,1,0,0,0,1,16,9,1,3,1,4,4,1,Enrolled
19,6,6,12.4,0.5,1.79,1,1,0,1,0,1,1,1,10,1,1,10,10,11,3,Graduate
19,7,8,15.5,2.8,-4.06,1,1,0,1,0,1,1,1,12,1,13,14,10,8,3,Graduate
19,5,5,9.4,-0.8,-3.12,1,1,0,1,0,1,1,8,16,1,22,28,6,7,5,Graduate
19,0,0,7.6,2.6,0.32,1,1,0,1,0,0,1,1,11,1,10,14,10,10,4,Dropout
20,5,3,7.6,2.6,0.32,1,1,0,1,0,0,1,8,11,1,1,27,10,11,1,Dropout
18,5,5,13.9,-0.3,0.79,1,0,0,1,0,0,1,1,9,1,3,14,3,11,1,Graduate
20,6,7,11.1,0.6,2.02,1,0,0,1,0,1,1,1,12,1,1,14,10,10,1,Graduate
18,0,0,9.4,-0.8,-3.12,1,1,0,1,0,0,1,1,2,1,3,27,3,9,1,Enrolled
19,5,5,7.6,2.6,0.32,1,0,0,1,0,0,1,1,6,1,1,28,5,8,1,Graduate
18,3,5,9.4,-0.8,-3.12,1,1,0,1,0,0,1,8,16,1,23,28,8,7,1,Enrolled
18,6,5,7.6,2.6,0.32,1,1,0,1,0,0,1,1,16,1,22,27,10,10,1,Graduate
21,3,3,9.4,-0.8,-3.12,1,1,0,1,0,0,1,14,16,1,3,27,3,6,1,Dropout
19,6,4,7.6,2.6,0.32,1,0,0,1,0,0,1,1,16,1,23,27,7,7,1,Dropout
18,5,5,12.4,0.5,1.79,1,0,0,1,0,1,1,1,9,1,23,28,10,10,1,Graduate
18,6,6,12.7,3.7,-1.7,1,1,0,1,0,1,1,8,10,1,1,27,8,10,2,Graduate
20,4,6,9.4,-0.8,-3.12,1,1,0,1,0,0,1,1,10,1,13,1,10,11,3,Graduate
24,5,5,11.1,0.6,2.02,0,0,0,1,0,1,1,12,3,1,1,14,7,9,1,Graduate
19,6,6,10.8,1.4,1.74,1,0,0,1,0,0,1,1,14,1,13,1,5,2,1,Dropout
18,7,7,15.5,2.8,-4.06,1,1,0,1,0,1,1,1,12,1,13,27,10,8,1,Graduate
18,7,8,15.5,2.8,-4.06,1,1,0,1,0,0,1,1,12,1,13,14,10,10,2,Graduate
21,4,3,10.8,1.4,1.74,1,1,0,1,0,0,1,8,16,1,10,10,5,5,5,Dropout
19,5,5,7.6,2.6,0.32,1,0,0,1,0,0,1,8,14,1,1,14,6,5,2,Graduate
19,6,6,15.5,2.8,-4.06,1,0,0,1,0,1,1,8,15,1,13,27,8,8,1,Graduate
47,0,0,8.9,1.4,3.51,1,0,1,1,0,0,3,12,4,1,1,27,7,7,1,Enrolled
19,5,4,13.9,-0.3,0.79,1,0,0,1,0,0,1,8,10,1,13,14,8,9,3,Graduate
29,7,7,12.7,3.7,-1.7,1,0,0,1,0,0,1,12,12,3,2,2,2,2,1,Graduate
21,3,2,16.2,0.3,-0.92,1,1,0,1,0,0,1,14,10,1,13,14,5,9,1,Dropout
28,4,4,12.7,3.7,-1.7,1,1,0,1,0,0,1,12,6,1,22,14,10,8,1,Enrolled
20,7,8,15.5,2.8,-4.06,1,0,0,1,0,0,1,8,13,1,22,27,4,11,2,Graduate
19,6,6,7.6,2.6,0.32,1,1,0,1,0,0,1,8,12,1,2,28,5,6,1,Graduate
26,3,5,9.4,-0.8,-3.12,0,0,0,1,0,0,1,13,3,1,13,2,5,7,1,Graduate
20,4,6,11.1,0.6,2.02,1,1,1,0,0,0,1,8,11,1,22,27,10,9,2,Dropout
18,3,4,7.6,2.6,0.32,1,1,0,1,0,1,1,1,14,1,22,27,10,10,1,Enrolled
27,5,5,7.6,2.6,0.32,1,0,0,1,0,0,1,12,16,1,22,14,10,6,1,Graduate
20,4,4,7.6,2.6,0.32,1,1,0,1,0,0,1,1,12,1,19,24,12,12,2,Dropout
18,5,5,9.4,-0.8,-3.12,1,1,0,1,0,0,1,1,16,1,22,14,10,6,5,Dropout
33,6,6,16.2,0.3,-0.92,1,0,0,1,0,0,1,4,12,3,1,1,10,6,1,Dropout
35,21,19,12.4,0.5,1.79,1,1,0,1,0,0,1,14,16,1,3,1,4,4,1,Graduate
26,6,6,9.4,-0.8,-3.12,0,0,0,1,0,1,1,15,17,14,22,14,10,9,1,Enrolled
27,5,0,11.1,0.6,2.02,1,0,1,0,0,0,1,12,15,12,13,14,4,5,1,Dropout
19,6,0,15.5,2.8,-4.06,1,1,0,0,0,0,1,9,5,1,1,27,6,6,3,Dropout
20,0,0,11.1,0.6,2.02,1,0,0,1,0,0,1,8,11,1,1,14,5,7,2,Dropout
20,3,3,10.8,1.4,1.74,1,1,1,0,0,0,1,9,9,1,3,3,6,8,2,Dropout
21,8,4,9.4,-0.8,-3.12,1,0,1,0,0,0,1,14,10,1,1,27,6,10,1,Enrolled
18,6,6,7.6,2.6,0.32,1,1,0,1,0,1,1,8,12,1,23,1,10,5,3,Graduate
24,2,0,8.9,1.4,3.51,1,1,0,1,0,0,1,12,6,1,1,14,10,10,1,Dropout
20,6,6,16.2,0.3,-0.92,1,1,0,1,0,0,1,8,5,1,1,3,5,2,4,Graduate
21,6,6,13.9,-0.3,0.79,1,0,0,1,0,1,1,1,11,1,13,28,10,9,1,Graduate
23,2,1,9.4,-0.8,-3.12,0,0,0,1,0,0,1,1,3,1,1,27,8,4,1,Enrolled
24,0,0,7.6,2.6,0.32,1,1,0,1,0,0,1,12,9,1,10,3,5,4,1,Dropout
21,0,0,12.4,0.5,1.79,1,0,0,1,0,0,1,16,16,1,1,1,5,11,1,Dropout
18,7,7,12.7,3.7,-1.7,1,1,0,1,0,0,1,1,12,1,23,28,10,9,4,Graduate
27,0,0,8.9,1.4,3.51,0,1,0,1,0,0,1,12,17,15,13,1,4,5,1,Dropout
18,8,8,9.4,-0.8,-3.12,1,1,0,1,0,0,1,9,12,1,22,27,6,6,6,Graduate
35,0,0,13.9,-0.3,0.79,1,0,0,1,0,0,1,4,7,3,3,2,3,3,1,Dropout
18,7,7,11.1,0.6,2.02,1,0,0,1,0,0,1,1,16,1,13,14,4,9,1,Graduate
35,3,3,11.1,0.6,2.02,1,0,0,1,0,0,1,12,12,1,1,3,28,19,1,Enrolled
19,4,4,10.8,1.4,1.74,1,1,0,1,0,0,1,1,6,1,1,1,5,8,1,Graduate
20,6,6,7.6,2.6,0.32,1,1,0,1,0,0,1,1,10,1,13,14,5,1,4,Graduate
18,7,7,10.8,1.4,1.74,1,1,0,1,0,0,1,1,12,1,13,14,8,8,4,Graduate
21,6,6,13.9,-0.3,0.79,1,0,1,1,0,0,1,15,10,14,23,28,6,11,1,Graduate
18,5,4,16.2,0.3,-0.92,1,0,0,1,0,1,1,8,10,1,13,27,10,9,2,Graduate
18,4,4,7.6,2.6,0.32,1,1,0,1,0,0,1,1,10,1,19,24,1,1,1,Graduate
18,7,7,12.7,3.7,-1.7,1,1,0,1,0,0,1,1,12,1,13,28,10,10,2,Graduate
18,6,6,16.2,0.3,-0.92,1,1,0,1,0,1,1,1,15,1,3,14,2,5,4,Graduate
19,6,5,13.9,-0.3,0.79,1,1,0,1,0,0,1,1,6,1,13,1,9,8,1,Graduate
36,6,5,16.2,0.3,-0.92,1,0,0,1,0,1,1,12,11,12,3,14,3,4,1,Dropout
18,7,7,12.7,3.7,-1.7,1,1,0,1,0,1,1,1,12,1,23,1,8,5,2,Graduate
18,6,6,7.6,2.6,0.32,1,0,0,1,0,1,1,1,12,1,22,27,10,10,1,Graduate
20,6,6,13.9,-0.3,0.79,1,1,0,1,0,1,1,14,8,1,1,3,10,3,1,Graduate
26,0,0,16.2,0.3,-0.92,0,0,0,1,0,1,1,12,17,1,22,27,10,10,1,Dropout
21,6,6,7.6,2.6,0.32,1,0,0,1,0,0,1,14,15,1,1,1,5,6,1,Graduate
25,6,8,15.5,2.8,-4.06,1,0,0,1,0,0,1,12,13,15,1,1,5,6,1,Enrolled
19,5,5,12.4,0.5,1.79,1,1,0,1,0,1,1,9,9,1,13,3,6,6,1,Graduate
24,1,0,9.4,-0.8,-3.12,0,1,0,1,0,0,1,12,3,1,13,27,9,8,1,Dropout
27,1,0,8.9,1.4,3.51,0,0,0,1,0,1,1,12,3,1,1,14,6,5,1,Dropout
21,0,2,7.6,2.6,0.32,1,0,0,1,0,0,1,8,6,1,13,27,2,4,1,Dropout
18,4,3,9.4,-0.8,-3.12,1,0,0,1,0,1,1,1,9,1,23,28,8,8,1,Graduate
19,6,6,10.8,1.4,1.74,1,0,0,1,0,1,2,1,16,1,22,27,6,8,4,Graduate
18,4,2,9.4,-0.8,-3.12,1,1,0,1,0,0,1,1,11,1,1,1,4,4,3,Dropout
19,5,7,11.1,0.6,2.02,1,0,0,1,0,1,1,16,12,1,13,1,6,10,1,Graduate
19,6,7,16.2,0.3,-0.92,1,1,0,1,0,1,1,9,12,1,1,28,5,6,1,Graduate
33,6,5,11.1,0.6,2.02,0,0,0,1,0,0,2,4,17,17,25,5,4,4,1,Graduate
45,5,5,12.4,0.5,1.79,1,0,0,1,0,0,2,4,9,3,1,4,4,11,1,Graduate
20,6,6,11.1,0.6,2.02,1,0,0,1,0,1,1,1,10,1,1,1,10,10,1,Graduate
28,0,0,7.6,2.6,0.32,1,1,0,1,0,0,1,12,14,1,19,24,1,1,2,Dropout
19,7,7,12.7,3.7,-1.7,1,1,0,1,0,1,1,14,12,1,1,1,6,9,1,Graduate
18,6,3,12.7,3.7,-1.7,1,1,0,1,0,0,1,1,11,1,1,27,5,6,2,Graduate
38,0,0,15.5,2.8,-4.06,1,0,0,1,0,0,1,12,11,3,13,14,5,7,1,Dropout
19,5,5,9.4,-0.8,-3.12,1,0,0,1,0,0,1,1,14,1,1,3,5,4,2,Graduate
21,5,5,15.5,2.8,-4.06,1,0,0,1,0,1,1,1,11,1,1,27,10,10,1,Graduate
21,3,1,16.2,0.3,-0.92,1,0,0,1,0,0,1,1,9,1,22,1,10,11,1,Dropout
22,5,6,10.8,1.4,1.74,1,0,0,1,0,1,1,1,10,1,23,27,10,10,1,Graduate
18,5,6,9.4,-0.8,-3.12,1,0,0,1,0,1,1,1,16,1,13,14,6,8,1,Graduate
18,6,6,15.5,2.8,-4.06,1,0,0,1,0,1,1,8,10,1,22,27,4,10,2,Graduate
25,4,4,9.4,-0.8,-3.12,1,1,0,0,0,0,1,1,8,1,13,1,10,10,1,Dropout
24,3,3,16.2,0.3,-0.92,1,0,1,0,0,0,1,12,6,12,13,14,10,8,1,Dropout
19,6,7,12.4,0.5,1.79,1,1,0,1,0,0,1,1,12,1,3,1,5,5,3,Enrolled
24,11,9,12.4,0.5,1.79,1,1,0,1,0,0,1,7,2,1,3,3,4,4,1,Enrolled
20,5,5,12.4,0.5,1.79,1,1,0,1,0,1,1,1,9,1,22,14,6,6,2,Graduate
25,0,0,10.8,1.4,1.74,1,0,0,0,0,0,1,12,9,1,22,1,10,2,1,Dropout
20,9,10,8.9,1.4,3.51,1,0,0,1,0,1,1,1,9,1,23,14,10,11,1,Graduate
23,8,8,9.4,-0.8,-3.12,1,0,0,1,0,0,1,4,12,3,13,28,6,4,1,Graduate
19,7,7,10.8,1.4,1.74,1,1,0,1,0,1,1,8,12,1,13,27,8,7,3,Graduate
29,3,3,13.9,-0.3,0.79,1,0,1,0,0,0,1,15,4,14,22,27,10,11,1,Dropout
21,6,4,11.1,0.6,2.02,1,1,0,1,0,0,1,1,11,1,13,27,5,8,3,Graduate
18,6,5,11.1,0.6,2.02,1,1,0,1,0,1,1,1,14,1,13,1,10,9,1,Graduate
19,5,5,9.4,-0.8,-3.12,1,1,0,1,0,0,1,1,5,1,13,28,10,10,3,Enrolled
18,6,6,8.9,1.4,3.51,1,1,0,1,0,1,1,1,15,1,23,27,8,8,3,Dropout
19,5,5,7.6,2.6,0.32,1,0,0,1,0,0,1,1,6,1,7,14,12,7,1,Graduate
18,1,0,9.4,-0.8,-3.12,1,1,0,1,0,0,1,1,15,1,22,27,10,9,1,Enrolled
